Case,U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,DI1,DI2,DI3,DI4,DI5,DI6,DI7,DI8,DI9,DI10
0,0.043526385,0.05756788,0.076348523,0.092018531,0.099466202,0.096224941,0.082510304,0.060915759,0.035964602,0.013326021,-0.001149761,0,0,0,0,0,0,0,0,0,0
1,0.043536544,0.057820671,0.076960642,0.092999004,0.100741739,0.097663419,0.083944476,0.062163849,0.036842338,0.013633523,-0.001153971,0,0,0,0,0,0,0,0,0,0.05
2,0.043536544,0.057820671,0.076960642,0.092999004,0.100741739,0.097663419,0.083944476,0.062163849,0.036842338,0.013633523,-0.001153971,0,0,0,0,0,0,0,0,0,0.15
3,0.043548216,0.058114987,0.077673614,0.094141242,0.102227955,0.099339756,0.085616107,0.063618949,0.037866115,0.013993012,-0.001158763,0,0,0,0,0,0,0,0,0,0.2
4,0.043554666,0.05828092,0.078075839,0.094785822,0.103066836,0.10028616,0.086560087,0.064440896,0.038444684,0.01419661,-0.001161392,0,0,0,0,0,0,0,0,0,0.25
5,0.043569128,0.0586593,0.078993519,0.096256792,0.104981579,0.102446746,0.088715628,0.066318337,0.039766908,0.014663146,-0.001167225,0,0,0,0,0,0,0,0,0,0.35
6,0.043577277,0.058876321,0.079520144,0.097101144,0.106080884,0.103687454,0.089953742,0.067397069,0.040527084,0.014932213,-0.00117047,0,0,0,0,0,0,0,0,0,0.4
7,0.043595854,0.059381215,0.080746083,0.099067286,0.108641303,0.106577929,0.092839028,0.069911972,0.042300725,0.015562673,-0.001177746,0,0,0,0,0,0,0,0,0,0.45
8,0.043529199,0.057701253,0.076688703,0.092603429,0.100318615,0.097104398,0.083174242,0.061374072,0.036230104,0.013432658,-0.001140659,0,0,0,0,0.05,0,0,0,0,0
9,0.043535564,0.058008418,0.077472426,0.0939512,0.102283216,0.099131529,0.084704351,0.062430153,0.036841833,0.013678347,-0.001119666,0,0,0,0,0.15,0,0,0,0,0
10,0.043539216,0.058186639,0.077927247,0.094733461,0.10342365,0.100308377,0.085592538,0.063043128,0.037196878,0.013820945,-0.00110747,0,0,0,0,0.2,0,0,0,0,0
11,0.043543246,0.058384994,0.078433539,0.095604333,0.104693405,0.101618778,0.086581422,0.063725552,0.037592133,0.013979694,-0.001093883,0,0,0,0,0.25,0,0,0,0,0
12,0.043552691,0.058857488,0.079639915,0.09767979,0.107720058,0.104742765,0.088938495,0.065351965,0.038534078,0.014358018,-0.001061464,0,0,0,0,0.35,0,0,0,0,0
13,0.043558272,0.059141927,0.080366394,0.098929882,0.109543467,0.106625131,0.090358468,0.066331636,0.039101416,0.014585888,-0.00104191,0,0,0,0,0.4,0,0,0,0,0
14,0.043564569,0.059467864,0.081199092,0.100362982,0.111634173,0.108783746,0.091986566,0.067454778,0.0397518,0.014847116,-0.001019467,0,0,0,0,0.45,0,0,0,0,0
