Case,U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,DI1,DI2,DI3,DI4,DI5,DI6,DI7,DI8,DI9,DI10
0,0.460297516,0.453705542,0.43047023,0.389553446,0.331943053,0.260921107,0.181702213,0.101967938,0.033252441,-0.01425579,-0.031992104,0,0,0,0,0,0,0,0,0,0
1,0.461402162,0.452632842,0.424502951,0.380938117,0.322344684,0.251639115,0.173675485,0.095918593,0.029703701,-0.015689392,-0.032256542,0.5,0,0,0,0,0,0.1,0,0,0
2,0.461428826,0.452632874,0.42445222,0.380817694,0.322130734,0.251297646,0.173151932,0.095331817,0.029420636,-0.015784119,-0.032267389,0.5,0,0,0,0,0,0.2,0,0,0
3,0.461501568,0.452635298,0.424320604,0.38050178,0.321566944,0.250395033,0.17176417,0.093743697,0.02865536,-0.016040527,-0.032297119,0.5,0,0,0,0,0,0.4,0,0,0
4,0.460477826,0.453540128,0.429570906,0.388229096,0.330416633,0.259356674,0.180198688,0.100702601,0.032551007,-0.014526003,-0.032037347,0.1,0,0,0,0,0,0.1,0,0,0
5,0.460501535,0.453542186,0.429531799,0.388128828,0.330231073,0.259052569,0.17972439,0.100156905,0.032288843,-0.014613335,-0.032047221,0.1,0,0,0,0,0,0.2,0,0,0
6,0.46053045,0.453545266,0.42948579,0.388009836,0.330010188,0.258689863,0.179157713,0.099496116,0.031971579,-0.014719132,-0.032059297,0.1,0,0,0,0,0,0.3,0,0,0
7,0.460566382,0.453550028,0.429431246,0.38786691,0.329743537,0.258250558,0.178469569,0.098679064,0.031579676,-0.014849893,-0.032074343,0.1,0,0,0,0,0,0.4,0,0,0
8,0.460612168,0.453557714,0.429366248,0.387693136,0.329416815,0.257709554,0.177618851,0.097642563,0.031083229,-0.015015615,-0.032093595,0.1,0,0,0,0,0,0.5,0,0,0
9,0.460661832,0.45335284,0.42857837,0.386806126,0.328842848,0.257852555,0.178927353,0.099769844,0.031995589,-0.014753027,-0.032079957,0.2,0,0,0,0,0,0.1,0,0,0
10,0.460686108,0.453354524,0.428537102,0.386702079,0.328651919,0.257541323,0.178443584,0.099216227,0.031729404,-0.014841778,-0.032090017,0.2,0,0,0,0,0,0.2,0,0,0
11,0.460715704,0.453357154,0.428488496,0.386578537,0.328424562,0.257170015,0.177865462,0.098545896,0.031407295,-0.014949286,-0.032102316,0.2,0,0,0,0,0,0.3,0,0,0
12,0.460752469,0.453361368,0.428430781,0.386430043,0.328149969,0.256720133,0.177163214,0.097717135,0.031009446,-0.015082146,-0.032117636,0.2,0,0,0,0,0,0.4,0,0,0
13,0.460799297,0.453368374,0.428361834,0.386249309,0.327813286,0.256165819,0.176294697,0.096665941,0.030505539,-0.015250499,-0.032137229,0.2,0,0,0,0,0,0.5,0,0,0
14,0.460871948,0.453140194,0.42742972,0.385157362,0.327018783,0.25610911,0.177453885,0.098689174,0.03135235,-0.015015856,-0.032129398,0.3,0,0,0,0,0,0.1,0,0,0
15,0.460896885,0.45314143,0.427385884,0.385048845,0.326821534,0.255789529,0.176959072,0.098126336,0.031081477,-0.015106265,-0.032139675,0.3,0,0,0,0,0,0.2,0,0,0
16,0.460927273,0.453143519,0.427334189,0.384919923,0.326586559,0.255408144,0.176367599,0.097444893,0.030753719,-0.015215769,-0.032152235,0.3,0,0,0,0,0,0.3,0,0,0
17,0.460965013,0.453147077,0.427272703,0.384764842,0.326302617,0.254945867,0.175648898,0.096602494,0.030348938,-0.015351078,-0.032167876,0.3,0,0,0,0,0,0.4,0,0,0
18,0.461013057,0.453153267,0.427199056,0.384575868,0.325954202,0.254375951,0.174759607,0.095534181,0.02983633,-0.015522505,-0.03218787,0.3,0,0,0,0,0,0.5,0,0,0
19,0.461115751,0.45290043,0.426087971,0.383226902,0.324881535,0.254065729,0.175726814,0.097422698,0.030598662,-0.015323776,-0.03218744,0.4,0,0,0,0,0,0.1,0,0,0
20,0.461141471,0.452901124,0.426041038,0.383113023,0.324676742,0.253736231,0.175218941,0.096848973,0.030322247,-0.015416145,-0.032197975,0.4,0,0,0,0,0,0.2,0,0,0
21,0.461172802,0.452902563,0.42598562,0.382977646,0.324432671,0.253342873,0.174611681,0.09615441,0.029987812,-0.015528013,-0.032210847,0.4,0,0,0,0,0,0.3,0,0,0
22,0.461211692,0.452905323,0.425919582,0.382814653,0.324137561,0.252865866,0.173873519,0.095295903,0.029574834,-0.015666223,-0.032226868,0.4,0,0,0,0,0,0.4,0,0,0
23,0.461261179,0.452910525,0.425840259,0.382615781,0.323775126,0.252277401,0.17295965,0.094207366,0.029051935,-0.01584129,-0.032247339,0.4,0,0,0,0,0,0.5,0,0,0
