Case,U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,DI1,DI2,DI3,DI4,DI5,DI6,DI7,DI8,DI9,DI10
0,0.000406414,0.003098866,0.008386517,0.015566496,0.024061143,0.033333802,0.042852747,0.052069618,0.060391358,0.067137728,0.071492715,0,0,0,0,0,0,0,0,0,0
1,0.000400779,0.003083323,0.008354847,0.015516084,0.023992638,0.033251083,0.042763154,0.051984551,0.060327601,0.06712096,0.071497236,0,0,0,0,0,0,0,0,0,0.05
2,0.000388936,0.003049709,0.008285732,0.015405641,0.023842204,0.033069095,0.042565672,0.051796585,0.060186042,0.067082336,0.071503859,0,0,0,0,0,0,0,0,0,0.15
3,0.000382377,0.003031096,0.008247461,0.015344488,0.023758908,0.032968329,0.042456329,0.051692513,0.060107669,0.067060974,0.07150752,0,0,0,0,0,0,0,0,0,0.2
4,0.000375331,0.0030111,0.008206349,0.015278794,0.023669427,0.032860081,0.042338869,0.051580718,0.060023486,0.067038046,0.071511448,0,0,0,0,0,0,0,0,0,0.25
5,0.00035954,0.002966293,0.008114225,0.015131591,0.02346893,0.03261754,0.042075696,0.051330248,0.059834901,0.066986765,0.071520234,0,0,0,0,0,0,0,0,0,0.35
6,0.000350653,0.002941079,0.008062387,0.015048762,0.023356115,0.03248107,0.041927622,0.05118933,0.059728817,0.066957973,0.071525169,0,0,0,0,0,0,0,0,0,0.4
7,0.000340989,0.002913664,0.008006025,0.014958706,0.023233459,0.032332701,0.041766643,0.051036139,0.059613511,0.066926731,0.071530526,0,0,0,0,0,0,0,0,0,0.45
8,0.000406082,0.003096589,0.008380385,0.015554346,0.02404001,0.033314209,0.042841092,0.052063362,0.060388777,0.067137522,0.071494216,0,0,0,0,0.05,0,0,0,0,0
9,0.000405938,0.003092129,0.008367276,0.015527625,0.023992856,0.033270478,0.042814973,0.05204897,0.060382067,0.067135382,0.071494206,0,0,0,0,0.15,0,0,0,0,0
10,0.000405855,0.003089587,0.008359805,0.015512398,0.023965985,0.033245639,0.042800138,0.052040796,0.060378257,0.067134167,0.0714942,0,0,0,0,0.2,0,0,0,0,0
11,0.000405763,0.003086796,0.008351603,0.015495682,0.023936486,0.033218441,0.042783896,0.052031848,0.060374087,0.067132838,0.071494194,0,0,0,0,0.25,0,0,0,0,0
12,0.000405546,0.003080302,0.00833253,0.015456813,0.02386789,0.0331555,0.04274631,0.052011146,0.060364442,0.067129764,0.071494181,0,0,0,0,0.35,0,0,0,0,0
13,0.000405416,0.003076494,0.008321349,0.015434031,0.023827683,0.033118819,0.042724407,0.051999085,0.060358825,0.067127975,0.071494174,0,0,0,0,0.4,0,0,0,0,0
14,0.000405269,0.00307222,0.008308804,0.01540847,0.023782569,0.033077862,0.042699953,0.051985623,0.060352557,0.06712598,0.071494167,0,0,0,0,0.45,0,0,0,0,0
