Case,U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,DI1,DI2,DI3,DI4,DI5,DI6,DI7,DI8,DI9,DI10
0,0.652842814,0.65336157,0.647087527,0.625895124,0.585342956,0.524924947,0.44805992,0.361698316,0.275825976,0.202714834,0.155800399,0,0,0,0,0,0,0,0,0,0
1,0.661901568,0.664644737,0.66187905,0.64458812,0.607636041,0.548919962,0.471341246,0.382211445,0.290793087,0.208159053,0.156548953,0,0,0,0,0.1,0,0,0,0,0.5
2,0.662385882,0.665369117,0.66304677,0.646394538,0.610326447,0.551588566,0.473133407,0.383350689,0.291431457,0.208426989,0.156622251,0,0,0,0,0.2,0,0,0,0,0.5
3,0.663694395,0.667327526,0.666205434,0.651282596,0.617608771,0.558808299,0.477981356,0.386431956,0.293157678,0.209151246,0.156820193,0,0,0,0,0.4,0,0,0,0,0.5
4,0.654449817,0.655443078,0.649960802,0.62974659,0.59029474,0.530096915,0.452543634,0.365353969,0.27836422,0.203663169,0.15595599,0,0,0,0,0.1,0,0,0,0,0.1
5,0.654876664,0.656088277,0.651011401,0.631385406,0.592754276,0.532523682,0.454148367,0.366354411,0.278913708,0.203899337,0.156022889,0,0,0,0,0.2,0,0,0,0,0.1
6,0.655392494,0.65686835,0.65228209,0.633368026,0.595730425,0.535458895,0.45608916,0.367564225,0.279578089,0.204184812,0.156103705,0,0,0,0,0.3,0,0,0,0,0.1
7,0.656028847,0.657831053,0.653850747,0.63581606,0.599405917,0.539081637,0.458484394,0.369057202,0.280397888,0.204537011,0.156203374,0,0,0,0,0.4,0,0,0,0,0.1
8,0.656833673,0.659049211,0.655836402,0.638915667,0.604060834,0.543665867,0.461515068,0.370946072,0.281434949,0.204982467,0.156329381,0,0,0,0,0.5,0,0,0,0,0.1
9,0.655894141,0.657225828,0.652268876,0.632619856,0.593651158,0.533739444,0.456180635,0.368615006,0.280767895,0.204531583,0.156071151,0,0,0,0,0.1,0,0,0,0,0.2
10,0.656331835,0.657886002,0.653341674,0.634290515,0.596154671,0.53621225,0.457820886,0.36964165,0.281334136,0.204773829,0.156139271,0,0,0,0,0.2,0,0,0,0,0.2
11,0.656860833,0.658684264,0.654639347,0.636311862,0.599184338,0.539203543,0.459804896,0.370883314,0.282018863,0.205066689,0.156221571,0,0,0,0,0.3,0,0,0,0,0.2
12,0.657513508,0.659669531,0.656241506,0.638808013,0.602926368,0.542896105,0.46225386,0.372415842,0.282863904,0.205428057,0.156323084,0,0,0,0,0.4,0,0,0,0,0.2
13,0.658339098,0.660916423,0.658269865,0.641969007,0.607666245,0.547569656,0.465353153,0.374355145,0.283933113,0.205885197,0.156451442,0,0,0,0,0.5,0,0,0,0,0.2
14,0.657572341,0.659297707,0.654951876,0.635960419,0.597553927,0.537975303,0.46041042,0.37240788,0.28356394,0.205542296,0.156204823,0,0,0,0,0.1,0,0,0,0,0.3
15,0.658022815,0.659975504,0.656050772,0.637668465,0.600109005,0.540502107,0.46209243,0.373465396,0.284149937,0.205791661,0.156274373,0,0,0,0,0.2,0,0,0,0,0.3
16,0.658567328,0.660795177,0.657380171,0.639735291,0.603201435,0.54355919,0.464127261,0.374744592,0.284858665,0.206093173,0.156358413,0,0,0,0,0.3,0,0,0,0,0.3
17,0.65923924,0.661807013,0.65902173,0.642287961,0.607021517,0.547333679,0.466639426,0.376323737,0.285733488,0.206465282,0.156462087,0,0,0,0,0.4,0,0,0,0,0.3
18,0.660089313,0.66308775,0.661100329,0.645521088,0.611861089,0.552112075,0.469819459,0.378322505,0.28684064,0.206936118,0.156593203,0,0,0,0,0.5,0,0,0,0,0.3
19,0.659546254,0.661735288,0.658109273,0.639892414,0.602148325,0.542962385,0.465390855,0.376874353,0.286857099,0.206733605,0.156361854,0,0,0,0,0.1,0,0,0,0,0.4
20,0.660012002,0.662434125,0.65923928,0.641644969,0.604764695,0.545553397,0.467122657,0.377968762,0.287466729,0.206991407,0.156433103,0,0,0,0,0.2,0,0,0,0,0.4
21,0.660575063,0.663279365,0.660606513,0.643765951,0.607931743,0.548688727,0.469218099,0.379292822,0.288204172,0.207303176,0.156519209,0,0,0,0,0.3,0,0,0,0,0.4
22,0.661269979,0.664322935,0.662295069,0.646385945,0.611844652,0.552560685,0.471805658,0.380927708,0.289114639,0.207688026,0.156625451,0,0,0,0,0.4,0,0,0,0,0.4
23,0.662149337,0.665644111,0.664433617,0.649705022,0.616802835,0.557463859,0.475082044,0.382997602,0.290267219,0.208175113,0.156759844,0,0,0,0,0.5,0,0,0,0,0.4
