Case,U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,DI1,DI2,DI3,DI4,DI5,DI6,DI7,DI8,DI9,DI10
0,0.690044907,0.68834601,0.674200934,0.640593904,0.584199252,0.50578794,0.410206875,0.305912839,0.204385598,0.119310562,0.065326848,0,0,0,0,0,0,0,0,0,0
1,0.691275082,0.692161819,0.682193669,0.653419159,0.601753202,0.526190105,0.430941913,0.324702362,0.217992018,0.122960469,0.064307016,0,0,0,0,0.1,0,0,0,0,0.5
2,0.691327246,0.692475194,0.682993122,0.654924647,0.604239876,0.528688624,0.432557989,0.325679384,0.218491803,0.12311564,0.064285753,0,0,0,0,0.2,0,0,0,0,0.5
3,0.691467824,0.693321719,0.685153372,0.658993336,0.610961542,0.535435967,0.436921845,0.328317237,0.219840877,0.123534267,0.064228164,0,0,0,0,0.4,0,0,0,0,0.5
4,0.690256171,0.689102679,0.675881933,0.643441237,0.58838374,0.510382029,0.414255471,0.309254264,0.206666546,0.119939055,0.065167436,0,0,0,0,0.1,0,0,0,0,0.1
5,0.6903022,0.689388578,0.676616096,0.644830194,0.590688659,0.51268249,0.415721804,0.31012311,0.207100509,0.120077906,0.065150559,0,0,0,0,0.2,0,0,0,0,0.1
6,0.690357734,0.689734145,0.677503684,0.646509597,0.593475918,0.515462284,0.417493567,0.311172821,0.20762472,0.12024557,0.065130119,0,0,0,0,0.3,0,0,0,0,0.1
7,0.690426143,0.690160388,0.678598671,0.648581607,0.596915209,0.518888909,0.419677473,0.312466599,0.208270725,0.120452114,0.065104852,0,0,0,0,0.4,0,0,0,0,0.1
8,0.690512507,0.690699378,0.679983596,0.651202575,0.601266436,0.523218003,0.422436335,0.3141008,0.209086562,0.120712836,0.065072813,0,0,0,0,0.5,0,0,0,0,0.1
9,0.690454976,0.689699138,0.677112348,0.645386218,0.590989755,0.513463343,0.417507984,0.312265425,0.20887423,0.120528403,0.065000035,0,0,0,0,0.1,0,0,0,0,0.2
10,0.69050217,0.689990295,0.677859034,0.646797569,0.593329672,0.515801907,0.419002988,0.3131549,0.209320729,0.12067046,0.064982336,0,0,0,0,0.2,0,0,0,0,0.2
11,0.690559116,0.690342245,0.67876183,0.64850417,0.596159453,0.518628066,0.420809598,0.314229657,0.209860147,0.120842016,0.064960901,0,0,0,0,0.3,0,0,0,0,0.2
12,0.690629271,0.690776397,0.679875672,0.650609918,0.599651506,0.522112337,0.423036771,0.315554493,0.210524991,0.121053388,0.064934405,0,0,0,0,0.4,0,0,0,0,0.2
13,0.690717849,0.691325446,0.68128459,0.653273834,0.604069931,0.526515062,0.4258508,0.31722823,0.211364776,0.121320256,0.064900807,0,0,0,0,0.5,0,0,0,0,0.2
14,0.690685163,0.690390027,0.678537705,0.647639437,0.594008815,0.517033064,0.421276053,0.315753879,0.211431794,0.121210938,0.064805916,0,0,0,0,0.1,0,0,0,0,0.3
15,0.690733726,0.690687335,0.679299024,0.649076924,0.596389538,0.519416077,0.422804587,0.316667532,0.211893,0.121356704,0.064787245,0,0,0,0,0.2,0,0,0,0,0.3
16,0.69079233,0.691046752,0.680219589,0.650815278,0.599268906,0.522296329,0.424651958,0.31777165,0.212450263,0.121532764,0.064764633,0,0,0,0,0.3,0,0,0,0,0.3
17,0.690864536,0.691490159,0.681355468,0.652960417,0.6028225,0.525847869,0.426929749,0.319132902,0.213137214,0.121749722,0.064736682,0,0,0,0,0.4,0,0,0,0,0.3
18,0.690955716,0.69205098,0.682792435,0.655674495,0.607319329,0.530336539,0.429808334,0.320853007,0.214005114,0.122023705,0.06470124,0,0,0,0,0.5,0,0,0,0,0.3
19,0.690954827,0.691199741,0.68020838,0.650280551,0.59754767,0.521217422,0.425692916,0.319842955,0.214429608,0.122010642,0.064578111,0,0,0,0,0.1,0,0,0,0,0.4
20,0.69100502,0.691504339,0.680987018,0.651748942,0.599976581,0.523652952,0.427261182,0.320785328,0.214908296,0.122160732,0.064558274,0,0,0,0,0.2,0,0,0,0,0.4
21,0.691065599,0.691872607,0.681928619,0.653524844,0.602914518,0.526597129,0.429156861,0.321924329,0.215486773,0.122342045,0.064534248,0,0,0,0,0.3,0,0,0,0,0.4
22,0.691140249,0.692326988,0.683090594,0.65571658,0.60654082,0.530228184,0.431494656,0.323328853,0.216200016,0.122565523,0.064504549,0,0,0,0,0.4,0,0,0,0,0.4
23,0.69123453,0.692901772,0.684560787,0.658490013,0.611130307,0.534818474,0.43444979,0.325104074,0.217101359,0.122847812,0.06446689,0,0,0,0,0.5,0,0,0,0,0.4
