Case,U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,DI1,DI2,DI3,DI4,DI5,DI6,DI7,DI8,DI9,DI10
0,-0.578678201,-0.582662206,-0.571055477,-0.537520662,-0.479706584,-0.399853207,-0.304468514,-0.203444549,-0.109077873,-0.034954224,0.005782848,0,0,0,0,0,0,0,0,0,0
1,-0.578323098,-0.586321837,-0.581008982,-0.55443153,-0.502971671,-0.426742882,-0.331509374,-0.227460503,-0.12618721,-0.040105813,0.00636604,0,0,0,0,0.1,0,0,0,0,0.5
2,-0.578257865,-0.586665708,-0.582051605,-0.556390648,-0.506073365,-0.429906452,-0.333748677,-0.228938032,-0.127016486,-0.040412823,0.006351739,0,0,0,0,0.2,0,0,0,0,0.5
3,-0.578288967,-0.588002033,-0.585560905,-0.562626112,-0.515548194,-0.439480128,-0.340574142,-0.233390857,-0.129395521,-0.041109499,0.006578238,0,0,0,0,0.4,0,0,0,0,0.5
4,-0.578587108,-0.583395239,-0.573117305,-0.541144067,-0.484953073,-0.405637747,-0.309682084,-0.207747583,-0.112001597,-0.0358752,0.005855308,0,0,0,0,0.1,0,0,0,0,0.1
5,-0.57852945,-0.583694399,-0.57402831,-0.542863216,-0.487690059,-0.408404931,-0.311607208,-0.208991645,-0.11268454,-0.03613359,0.005839995,0,0,0,0,0.2,0,0,0,0,0.1
6,-0.578459061,-0.584059226,-0.575139476,-0.544960265,-0.491028968,-0.411778366,-0.313954079,-0.210508299,-0.113517182,-0.036448662,0.005821292,0,0,0,0,0.3,0,0,0,0,0.1
7,-0.578371228,-0.584514007,-0.576524868,-0.547575144,-0.495192917,-0.415981556,-0.316878094,-0.212397931,-0.11455462,-0.036841264,0.005797958,0,0,0,0,0.4,0,0,0,0,0.1
8,-0.578258545,-0.585096752,-0.578300489,-0.550927074,-0.500531531,-0.421363683,-0.320622061,-0.214817435,-0.115883008,-0.037344021,0.005768037,0,0,0,0,0.5,0,0,0,0,0.1
9,-0.578536329,-0.583959203,-0.574637818,-0.543704055,-0.488424471,-0.409703773,-0.313887406,-0.211546084,-0.114736371,-0.036694269,0.005953704,0,0,0,0,0.1,0,0,0,0,0.2
10,-0.578477239,-0.58426676,-0.575573581,-0.545468417,-0.491230329,-0.412545693,-0.315871384,-0.212833623,-0.115446444,-0.036961759,0.005938547,0,0,0,0,0.2,0,0,0,0,0.2
11,-0.578405085,-0.584641895,-0.576715152,-0.547621012,-0.494653882,-0.416011043,-0.318290551,-0.21440363,-0.116312352,-0.037287997,0.005920028,0,0,0,0,0.3,0,0,0,0,0.2
12,-0.578315026,-0.585109626,-0.578138773,-0.550305758,-0.498924349,-0.420330008,-0.321305502,-0.216360286,-0.117391539,-0.037694626,0.005896916,0,0,0,0,0.4,0,0,0,0,0.2
13,-0.578199446,-0.585709131,-0.579963904,-0.553748217,-0.504401066,-0.425862446,-0.325167314,-0.218866513,-0.118773876,-0.038215531,0.005867263,0,0,0,0,0.5,0,0,0,0,0.2
14,-0.578477111,-0.584616502,-0.576410079,-0.546687973,-0.492470788,-0.414443219,-0.318789144,-0.215973352,-0.117923128,-0.03764687,0.006068399,0,0,0,0,0.1,0,0,0,0,0.3
15,-0.578416336,-0.584933977,-0.577375061,-0.54850565,-0.495357763,-0.417373235,-0.320842732,-0.217312475,-0.118665467,-0.037925133,0.006053447,0,0,0,0,0.2,0,0,0,0,0.3
16,-0.578342105,-0.585321291,-0.578552529,-0.550723766,-0.498881045,-0.420946967,-0.32334744,-0.218945806,-0.119570952,-0.038264595,0.006035172,0,0,0,0,0.3,0,0,0,0,0.3
17,-0.578249423,-0.585804332,-0.580021303,-0.553490963,-0.503277068,-0.425402511,-0.326470028,-0.220982045,-0.120699828,-0.038687843,0.006012355,0,0,0,0,0.4,0,0,0,0,0.3
18,-0.578130428,-0.586423658,-0.581904943,-0.557040319,-0.508916663,-0.431112364,-0.330471404,-0.223591297,-0.122146411,-0.039230261,0.005983061,0,0,0,0,0.5,0,0,0,0,0.3
19,-0.578407117,-0.58539232,-0.578502129,-0.550210446,-0.497247496,-0.42003818,-0.324575547,-0.221199198,-0.121683579,-0.038768037,0.006203792,0,0,0,0,0.1,0,0,0,0,0.4
20,-0.578344329,-0.585721686,-0.579502104,-0.552091911,-0.50023139,-0.423073553,-0.326712709,-0.22260047,-0.122464894,-0.039059239,0.006189115,0,0,0,0,0.2,0,0,0,0,0.4
21,-0.578267618,-0.586123605,-0.580722581,-0.554388453,-0.503873879,-0.426776959,-0.329320155,-0.224310124,-0.123418206,-0.039414592,0.006171169,0,0,0,0,0.3,0,0,0,0,0.4
22,-0.578171801,-0.586625014,-0.58224548,-0.55725439,-0.508420062,-0.431395993,-0.332572085,-0.226442329,-0.124607158,-0.03985782,0.006148748,0,0,0,0,0.4,0,0,0,0,0.4
23,-0.578257989,-0.587658243,-0.58484325,-0.561787022,-0.515217103,-0.438214208,-0.337415668,-0.229563895,-0.126225545,-0.040277759,0.00638552,0,0,0,0,0.5,0,0,0,0,0.4
