Case,U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,DI1,DI2,DI3,DI4,DI5,DI6,DI7,DI8,DI9,DI10
0,-0.567887181,-0.563220935,-0.54799773,-0.51690643,-0.467520568,-0.40057782,-0.319865091,-0.232699506,-0.15086566,-0.087172087,-0.054955932,0,0,0,0,0,0,0,0,0,0
1,-0.567927715,-0.563221905,-0.547853225,-0.516687373,-0.467276478,-0.400345392,-0.319669918,-0.232556593,-0.150780007,-0.087136091,-0.054948088,0,0,0,0,0,0,0.05,0,0,0
2,-0.568015692,-0.56322688,-0.5475354,-0.516204116,-0.46673752,-0.399831985,-0.319238762,-0.232240956,-0.15059086,-0.087056563,-0.054930647,0,0,0,0,0,0,0.15,0,0,0
3,-0.568064166,-0.563232205,-0.547360919,-0.515937429,-0.466439619,-0.399547996,-0.319000176,-0.232066262,-0.150486156,-0.087012519,-0.054920958,0,0,0,0,0,0,0.2,0,0,0
4,-0.568116058,-0.563240184,-0.547174825,-0.51565176,-0.466120093,-0.399243204,-0.31874403,-0.23187868,-0.150373711,-0.086965203,-0.054910526,0,0,0,0,0,0,0.25,0,0,0
5,-0.568231674,-0.563267648,-0.546763656,-0.515015316,-0.465406423,-0.398561646,-0.31817089,-0.231458818,-0.150121951,-0.086859195,-0.05488706,0,0,0,0,0,0,0.35,0,0,0
6,-0.568296348,-0.563289746,-0.546536396,-0.514659831,-0.465006546,-0.398179206,-0.317849031,-0.23122293,-0.149980451,-0.086799567,-0.054873802,0,0,0,0,0,0,0.4,0,0,0
7,-0.568366368,-0.563320043,-0.546293244,-0.514275917,-0.464573492,-0.397764503,-0.317499775,-0.230966859,-0.149826788,-0.08673477,-0.054859344,0,0,0,0,0,0,0.45,0,0,0
8,-0.567882549,-0.563220042,-0.548002959,-0.51691951,-0.467543086,-0.400612257,-0.319918166,-0.232709094,-0.150871597,-0.087174791,-0.054956455,0,0,0,0,0,0,0.05,0,0,0
9,-0.567872801,-0.563218872,-0.548015891,-0.516950563,-0.467595946,-0.400692593,-0.32004115,-0.232730082,-0.150884816,-0.087180784,-0.054957588,0,0,0,0,0,0,0.15,0,0,0
10,-0.567867475,-0.563218512,-0.548023697,-0.516968856,-0.467626836,-0.400739308,-0.320112329,-0.232741053,-0.150891946,-0.087184058,-0.054958207,0,0,0,0,0,0,0.2,0,0,0
11,-0.567861817,-0.563218372,-0.54803264,-0.516989459,-0.467661423,-0.400791421,-0.320191456,-0.232752254,-0.150899431,-0.087187534,-0.054958866,0,0,0,0,0,0,0.25,0,0,0
12,-0.5678558,-0.563218531,-0.548042969,-0.517012834,-0.467700423,-0.400849955,-0.320279996,-0.232763569,-0.150907265,-0.087191224,-0.054959566,0,0,0,0,0,0,0.35,0,0,0
13,-0.567842582,-0.563220201,-0.548069177,-0.517070483,-0.467795623,-0.400991888,-0.320493319,-0.232785681,-0.150923855,-0.087199274,-0.054961102,0,0,0,0,0,0,0.4,0,0,0
14,-0.567835335,-0.563222062,-0.54808606,-0.517106589,-0.467854616,-0.401079226,-0.320623691,-0.232795727,-0.150932453,-0.08720363,-0.054961941,0,0,0,0,0,0,0.45,0,0,0
