Case,U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,DI1,DI2,DI3,DI4,DI5,DI6,DI7,DI8,DI9,DI10
0,-0.652566668,-0.645687161,-0.627124432,-0.590593962,-0.533061537,-0.455054986,-0.360624066,-0.257759618,-0.158941035,-0.078927285,-0.034615408,0,0,0,0,0,0,0,0,0,0
1,-0.653699096,-0.64646412,-0.625688411,-0.588037788,-0.530126809,-0.452281779,-0.35840344,-0.256111757,-0.157958826,-0.078529571,-0.034544482,0.5,0,0,0,0,0,0.1,0,0,0
2,-0.65370429,-0.646485016,-0.625737104,-0.588122432,-0.530257524,-0.452475016,-0.35869538,-0.25627509,-0.158041169,-0.078559495,-0.034548911,0.5,0,0,0,0,0,0.2,0,0,0
3,-0.653725765,-0.646549832,-0.625878569,-0.588362619,-0.530623455,-0.453010449,-0.359496789,-0.256699559,-0.158256878,-0.078638102,-0.034560622,0.5,0,0,0,0,0,0.4,0,0,0
4,-0.652732944,-0.645788512,-0.626927654,-0.590263514,-0.532713378,-0.454780814,-0.360508531,-0.257640526,-0.158858099,-0.078890933,-0.034608167,0.1,0,0,0,0,0,0.1,0,0,0
5,-0.652739662,-0.645809906,-0.62697484,-0.590346474,-0.532843795,-0.454976724,-0.360808075,-0.257810764,-0.158943474,-0.078921768,-0.034612666,0.1,0,0,0,0,0,0.2,0,0,0
6,-0.652749872,-0.645838066,-0.627034548,-0.590449844,-0.533004899,-0.455217199,-0.361173657,-0.258012269,-0.15904497,-0.078958463,-0.034618032,0.1,0,0,0,0,0,0.3,0,0,0
7,-0.652765363,-0.645876057,-0.627112027,-0.590581779,-0.533208508,-0.455518895,-0.36162946,-0.258253185,-0.159167026,-0.079002716,-0.034624551,0.1,0,0,0,0,0,0.4,0,0,0
8,-0.6527898,-0.645929648,-0.627216673,-0.590756484,-0.533474856,-0.455909902,-0.362215567,-0.258545392,-0.159316314,-0.079057086,-0.034632652,0.1,0,0,0,0,0,0.5,0,0,0
9,-0.652918649,-0.645894122,-0.62666534,-0.58981243,-0.532194966,-0.454282381,-0.360089781,-0.257336907,-0.158679679,-0.078819282,-0.034595541,0.2,0,0,0,0,0,0.1,0,0,0
10,-0.652925059,-0.64591542,-0.626712835,-0.589895742,-0.532325471,-0.454477802,-0.360387876,-0.257505827,-0.158764477,-0.078849945,-0.034600027,0.2,0,0,0,0,0,0.2,0,0,0
11,-0.652934891,-0.645943465,-0.62677293,-0.589999558,-0.532486703,-0.454717711,-0.360751735,-0.257705776,-0.158865295,-0.078886438,-0.034605379,0.2,0,0,0,0,0,0.3,0,0,0
12,-0.652949906,-0.645981312,-0.6268509,-0.590132066,-0.532690501,-0.455018744,-0.361205456,-0.257944827,-0.158986541,-0.078930452,-0.034611881,0.2,0,0,0,0,0,0.4,0,0,0
13,-0.652973725,-0.646034722,-0.626956195,-0.590307541,-0.532957142,-0.455408976,-0.361789,-0.258234765,-0.15913485,-0.078984535,-0.034619962,0.2,0,0,0,0,0,0.5,0,0,0
14,-0.653135174,-0.646030259,-0.626372601,-0.589299233,-0.531602212,-0.453711218,-0.359609357,-0.256988323,-0.158474746,-0.078736963,-0.034581034,0.3,0,0,0,0,0,0.1,0,0,0
15,-0.653141234,-0.646051445,-0.626420446,-0.589382941,-0.531732802,-0.453906054,-0.359905756,-0.257155703,-0.15855887,-0.078767424,-0.034585505,0.3,0,0,0,0,0,0.2,0,0,0
16,-0.653150636,-0.646079356,-0.626480977,-0.589487255,-0.531894162,-0.454145287,-0.360267599,-0.257353831,-0.158658893,-0.078803679,-0.034590839,0.3,0,0,0,0,0,0.3,0,0,0
17,-0.653165111,-0.646117039,-0.626559503,-0.589620407,-0.532098154,-0.454445527,-0.360718882,-0.257590699,-0.158779189,-0.078847411,-0.034597321,0.3,0,0,0,0,0,0.4,0,0,0
18,-0.653188226,-0.646170238,-0.626665533,-0.589796748,-0.532365106,-0.454834829,-0.361299425,-0.257877982,-0.158926349,-0.078901156,-0.03460538,0.3,0,0,0,0,0,0.5,0,0,0
19,-0.653391117,-0.646211615,-0.62604677,-0.588712038,-0.530919244,-0.453051123,-0.359053212,-0.256584392,-0.158237125,-0.078641474,-0.034564205,0.4,0,0,0,0,0,0.1,0,0,0
20,-0.653396776,-0.646232669,-0.626095013,-0.588796188,-0.531049909,-0.453245248,-0.359347594,-0.256749941,-0.158320444,-0.078671693,-0.034568657,0.4,0,0,0,0,0,0.2,0,0,0
21,-0.653405686,-0.646260423,-0.626156038,-0.588901061,-0.53121139,-0.453483656,-0.359707041,-0.256945906,-0.15841952,-0.078707665,-0.03457397,0.4,0,0,0,0,0,0.3,0,0,0
22,-0.653419541,-0.646297911,-0.626235196,-0.589034936,-0.531415572,-0.453782927,-0.360155425,-0.257180178,-0.158538683,-0.078751059,-0.034580427,0.4,0,0,0,0,0,0.4,0,0,0
23,-0.653441846,-0.646350862,-0.626342061,-0.589212252,-0.531682839,-0.454171087,-0.360732395,-0.257464302,-0.158684472,-0.078804398,-0.034588457,0.4,0,0,0,0,0,0.5,0,0,0
