Case,U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,DI1,DI2,DI3,DI4,DI5,DI6,DI7,DI8,DI9,DI10
0,-0.567566295,-0.562925021,-0.547736167,-0.516685003,-0.467341586,-0.400440386,-0.319765971,-0.232633299,-0.150823028,-0.087143499,-0.054934268,0,0,0,0,0,0,0,0,0,0
1,-0.567607054,-0.562926373,-0.547592317,-0.516466753,-0.46709835,-0.400208766,-0.319571481,-0.232490888,-0.150737675,-0.08710763,-0.054926457,0.05,0,0,0,0,0,0,0,0,0
2,-0.567695518,-0.562932185,-0.547275931,-0.515985269,-0.466561269,-0.399697132,-0.319141821,-0.232176347,-0.150549183,-0.087028377,-0.054909083,0.15,0,0,0,0,0,0,0,0,0
3,-0.567744261,-0.562937971,-0.547102246,-0.515719561,-0.466264403,-0.399414119,-0.318904057,-0.232002255,-0.150444838,-0.086984485,-0.054899432,0.2,0,0,0,0,0,0,0,0,0
4,-0.567796441,-0.562946446,-0.546917003,-0.515434939,-0.465945982,-0.399110369,-0.318648788,-0.231815314,-0.150332776,-0.086937328,-0.054889038,0.25,0,0,0,0,0,0,0,0,0
5,-0.567912701,-0.562975015,-0.546507736,-0.514800829,-0.465234771,-0.398431123,-0.318077591,-0.231396869,-0.150081858,-0.086831671,-0.054865656,0.35,0,0,0,0,0,0,0,0,0
6,-0.567977737,-0.562997732,-0.546281541,-0.51444665,-0.464836266,-0.39804997,-0.317756811,-0.231161768,-0.149940825,-0.086772237,-0.054852444,0.4,0,0,0,0,0,0,0,0,0
7,-0.568048148,-0.563028699,-0.546039542,-0.514064145,-0.464404691,-0.397636654,-0.317408715,-0.23090654,-0.149787662,-0.086707647,-0.054838034,0.45,0,0,0,0,0,0,0,0,0
8,-0.567561712,-0.562924196,-0.5477415,-0.516698233,-0.467364311,-0.400475099,-0.319819419,-0.232643234,-0.150829134,-0.087146258,-0.054934795,0,0,0,0,0,0,0.05,0,0,0
9,-0.567552074,-0.562923183,-0.547754669,-0.516729629,-0.46741764,-0.400556063,-0.319943251,-0.232665011,-0.150842738,-0.087152376,-0.054935936,0,0,0,0,0,0,0.15,0,0,0
10,-0.567546813,-0.562922911,-0.547762609,-0.516748115,-0.467448795,-0.400603132,-0.32001491,-0.23267643,-0.150850086,-0.08715572,-0.05493656,0,0,0,0,0,0,0.2,0,0,0
11,-0.567541224,-0.562922868,-0.547771697,-0.516768926,-0.467483667,-0.40065563,-0.32009456,-0.232688121,-0.150857808,-0.087159273,-0.054937223,0,0,0,0,0,0,0.25,0,0,0
12,-0.567528967,-0.562923809,-0.547794391,-0.51681952,-0.467567651,-0.400781298,-0.320284118,-0.232711803,-0.150874348,-0.087167051,-0.054938678,0,0,0,0,0,0,0.35,0,0,0
13,-0.567522249,-0.562925046,-0.54780875,-0.516850691,-0.467618888,-0.400857478,-0.320398317,-0.232723331,-0.150883095,-0.08717129,-0.054939474,0,0,0,0,0,0,0.4,0,0,0
14,-0.56751511,-0.562927048,-0.547825839,-0.516887091,-0.467678288,-0.400945371,-0.320529458,-0.232734107,-0.150892045,-0.087175758,-0.054940318,0,0,0,0,0,0,0.45,0,0,0
