Case,U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,DI1,DI2,DI3,DI4,DI5,DI6,DI7,DI8,DI9,DI10
0,-0.000426508,-0.00278849,-0.005582438,-0.008010711,-0.009477156,-0.009603059,-0.008272346,-0.005691182,-0.002427388,0.000657493,0.00246486,0,0,0,0,0,0,0,0,0,0
1,-0.000362632,-0.002966514,-0.006090364,-0.008719945,-0.010278847,-0.010403013,-0.008998155,-0.00624282,-0.002751927,0.000523865,0.002437307,0.5,0,0,0,0,0,0.1,0,0,0
2,-0.000358806,-0.002976119,-0.006121648,-0.008775604,-0.010360217,-0.010512064,-0.009141695,-0.006365638,-0.002815937,0.000500363,0.002433827,0.5,0,0,0,0,0,0.2,0,0,0
3,-0.000348454,-0.003002431,-0.006207131,-0.008927598,-0.010582336,-0.010809628,-0.009533182,-0.006699357,-0.002990028,0.000436365,0.002424267,0.5,0,0,0,0,0,0.4,0,0,0
4,-0.000415097,-0.002818253,-0.00567236,-0.008145123,-0.009642179,-0.009787263,-0.008470634,-0.005851685,-0.002516057,0.000622962,0.00245867,0.1,0,0,0,0,0,0.1,0,0,0
5,-0.000411727,-0.00282625,-0.005698653,-0.008193416,-0.009714686,-0.0098867,-0.008604258,-0.005966655,-0.002575636,0.000601229,0.002455534,0.1,0,0,0,0,0,0.2,0,0,0
6,-0.000407645,-0.002835946,-0.005730536,-0.008251986,-0.009802645,-0.010007363,-0.008766444,-0.006105909,-0.002647822,0.000574884,0.002451713,0.1,0,0,0,0,0,0.3,0,0,0
7,-0.000402593,-0.002847971,-0.005770062,-0.008324595,-0.009911693,-0.010156963,-0.00896754,-0.006278084,-0.002737114,0.000542277,0.00244696,0.1,0,0,0,0,0,0.4,0,0,0
8,-0.000396179,-0.00286331,-0.00582043,-0.008417105,-0.010050612,-0.010347524,-0.009223684,-0.006496524,-0.002850474,0.000500847,0.002440887,0.1,0,0,0,0,0,0.5,0,0,0
9,-0.000405057,-0.002845467,-0.005751681,-0.008254758,-0.009763854,-0.009905069,-0.008571636,-0.005926623,-0.002561284,0.000603924,0.00245452,0.2,0,0,0,0,0,0.1,0,0,0
10,-0.000401598,-0.002853743,-0.005778864,-0.008304366,-0.009837946,-0.010006232,-0.008707056,-0.006043017,-0.00262166,0.000581875,0.002451324,0.2,0,0,0,0,0,0.2,0,0,0
11,-0.000397408,-0.002863786,-0.005811845,-0.008364561,-0.009927865,-0.010129032,-0.008871467,-0.006184032,-0.002694835,0.000555138,0.002447428,0.2,0,0,0,0,0,0.3,0,0,0
12,-0.000392225,-0.002876254,-0.005852762,-0.008439232,-0.010039404,-0.010281352,-0.009075401,-0.006358451,-0.002785388,0.00052203,0.002442578,0.2,0,0,0,0,0,0.4,0,0,0
13,-0.000385647,-0.002892178,-0.005904954,-0.00853445,-0.010181604,-0.010475504,-0.009335294,-0.00657985,-0.002900415,0.000479936,0.002436377,0.2,0,0,0,0,0,0.5,0,0,0
14,-0.000393325,-0.002877893,-0.005844754,-0.008383089,-0.009906133,-0.010042741,-0.008689617,-0.006014122,-0.002614063,0.000581736,0.002449718,0.3,0,0,0,0,0,0.1,0,0,0
15,-0.000389762,-0.00288651,-0.005873012,-0.008434285,-0.009982135,-0.010145981,-0.008827188,-0.006132219,-0.002675398,0.000559306,0.002446447,0.3,0,0,0,0,0,0.2,0,0,0
16,-0.000385449,-0.002896977,-0.005907322,-0.008496445,-0.010074423,-0.010271358,-0.008994273,-0.006275349,-0.002749764,0.000532094,0.002442459,0.3,0,0,0,0,0,0.3,0,0,0
17,-0.000380113,-0.002909989,-0.005949926,-0.008573616,-0.010188983,-0.01042697,-0.009201624,-0.006452469,-0.002841841,0.000498377,0.002437491,0.3,0,0,0,0,0,0.4,0,0,0
18,-0.000373345,-0.002926638,-0.006004341,-0.00867213,-0.010335175,-0.010625483,-0.009466052,-0.006677446,-0.002958889,0.000455476,0.002431132,0.3,0,0,0,0,0,0.5,0,0,0
19,-0.000379404,-0.002917297,-0.005955638,-0.008535514,-0.010074923,-0.010205962,-0.008829433,-0.006117777,-0.002676561,0.000555486,0.002444068,0.4,0,0,0,0,0,0.1,0,0,0
20,-0.000375721,-0.002926343,-0.005985225,-0.008588671,-0.010153284,-0.010311759,-0.008969641,-0.00623796,-0.002739075,0.000532585,0.002440706,0.4,0,0,0,0,0,0.2,0,0,0
21,-0.000371262,-0.002937346,-0.006021183,-0.008653266,-0.010248507,-0.010440322,-0.009140013,-0.006383691,-0.002814912,0.000504785,0.002436602,0.4,0,0,0,0,0,0.3,0,0,0
22,-0.000365749,-0.002951046,-0.006065889,-0.008733547,-0.010366821,-0.01060002,-0.009351584,-0.006564143,-0.002908877,0.000470312,0.002431487,0.4,0,0,0,0,0,0.4,0,0,0
23,-0.000358759,-0.002968617,-0.006123084,-0.008836182,-0.010518001,-0.010803968,-0.009621634,-0.006793554,-0.003028442,0.000426401,0.00242493,0.4,0,0,0,0,0,0.5,0,0,0
