Case,U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,DI1,DI2,DI3,DI4,DI5,DI6,DI7,DI8,DI9,DI10
0,0.460297516,0.453705542,0.43047023,0.389553446,0.331943053,0.260921107,0.181702213,0.101967938,0.033252441,-0.01425579,-0.031992104,0,0,0,0,0,0,0,0,0,0
1,0.460376247,0.453625605,0.430052565,0.388955382,0.331282125,0.260290132,0.181170008,0.101577632,0.033019662,-0.014351062,-0.03200997,0.05,0,0,0,0,0,0,0,0,0
2,0.460547214,0.453448592,0.429127022,0.387630294,0.329818024,0.258892637,0.179991616,0.100713924,0.032504857,-0.014561641,-0.032049551,0.15,0,0,0,0,0,0,0,0,0
3,0.46064152,0.453351762,0.428613818,0.386894875,0.329005239,0.258116753,0.179337385,0.100234465,0.032219125,-0.014678503,-0.032071541,0.2,0,0,0,0,0,0,0,0,0
4,0.460742556,0.453248857,0.428062051,0.386103577,0.328130492,0.257281649,0.178633215,0.099718453,0.031911642,-0.014804251,-0.032095222,0.25,0,0,0,0,0,0,0,0,0
5,0.46096796,0.453023348,0.426824654,0.384326262,0.326164824,0.255404714,0.177050511,0.098558798,0.031220728,-0.015086776,-0.032148505,0.35,0,0,0,0,0,0,0,0,0
6,0.46109422,0.45290019,0.426128208,0.383323952,0.325055614,0.254345308,0.176157119,0.097904273,0.030830821,-0.015246201,-0.032178621,0.4,0,0,0,0,0,0,0,0,0
7,0.461231045,0.452770007,0.425371342,0.382232742,0.32384735,0.253191023,0.175183638,0.097191108,0.030406017,-0.01541989,-0.032211476,0.45,0,0,0,0,0,0,0,0,0
8,0.460306771,0.453706306,0.430454826,0.389513662,0.331869057,0.260799458,0.181512216,0.101751113,0.033148296,-0.014290406,-0.031995965,0,0,0,0,0,0,0.05,0,0,0
9,0.460327984,0.45370829,0.430420285,0.389424121,0.331702395,0.260525363,0.18108383,0.101258552,0.032911737,-0.014369158,-0.032004843,0,0,0,0,0,0,0.15,0,0,0
10,0.460340159,0.453709584,0.430400908,0.389373594,0.331608144,0.26037014,0.180840951,0.100976953,0.032776553,-0.014414182,-0.032009943,0,0,0,0,0,0,0.2,0,0,0
11,0.460353593,0.453711147,0.430379912,0.389318579,0.331505339,0.260200633,0.180575469,0.100667076,0.032627847,-0.014463725,-0.032015575,0,0,0,0,0,0,0.25,0,0,0
12,0.460385087,0.453715381,0.430332306,0.389192672,0.331269237,0.259810463,0.179963288,0.09994352,0.032280854,-0.014579381,-0.032028803,0,0,0,0,0,0,0.35,0,0,0
13,0.4604037,0.453718275,0.430305272,0.389120336,0.331132995,0.259584676,0.179608247,0.099517526,0.032076728,-0.014647446,-0.032036637,0,0,0,0,0,0,0.4,0,0,0
14,0.460424705,0.453721908,0.430275786,0.389040609,0.330982241,0.259334202,0.17921363,0.0990379,0.031847066,-0.014724046,-0.032045496,0,0,0,0,0,0,0.45,0,0,0
