Case,U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,DI1,DI2,DI3,DI4,DI5,DI6,DI7,DI8,DI9,DI10
0,-0.578678201,-0.582662206,-0.571055477,-0.537520662,-0.479706584,-0.399853207,-0.304468514,-0.203444549,-0.109077873,-0.034954224,0.005782848,0,0,0,0,0,0,0,0,0,0
1,-0.57865743,-0.582895526,-0.571683773,-0.538577232,-0.481136673,-0.401530326,-0.306209494,-0.205020549,-0.110214213,-0.03529484,0.005824003,0,0,0,0,0,0,0,0,0,0.05
2,-0.578611334,-0.583413693,-0.573079101,-0.540923697,-0.484312681,-0.405254961,-0.310075929,-0.208520476,-0.112737456,-0.036050398,0.005915415,0,0,0,0,0,0,0,0,0,0.15
3,-0.578585632,-0.583702439,-0.573856684,-0.54223135,-0.486082649,-0.407330682,-0.312230658,-0.210470881,-0.114143394,-0.036470893,0.005966357,0,0,0,0,0,0,0,0,0,0.2
4,-0.578557876,-0.584014098,-0.574695999,-0.543642842,-0.48799318,-0.409571255,-0.314556495,-0.212576105,-0.115660768,-0.036924285,0.006021344,0,0,0,0,0,0,0,0,0,0.25
5,-0.57849513,-0.584717982,-0.576591746,-0.546831033,-0.492308629,-0.4146322,-0.31980995,-0.217330975,-0.119087226,-0.037946307,0.006145543,0,0,0,0,0,0,0,0,0,0.35
6,-0.57845948,-0.585117455,-0.577667721,-0.548640617,-0.494758064,-0.417504776,-0.322791732,-0.220029572,-0.121031416,-0.038524973,0.006216037,0,0,0,0,0,0,0,0,0,0.4
7,-0.578420434,-0.585554581,-0.578845193,-0.550620943,-0.497438635,-0.420648412,-0.326054811,-0.222982566,-0.123158441,-0.03915691,0.006293181,0,0,0,0,0,0,0,0,0,0.45
8,-0.578655683,-0.582778853,-0.5714109,-0.538191827,-0.48077608,-0.400933527,-0.305217794,-0.203926905,-0.109341551,-0.035054353,0.005776693,0,0,0,0,0,0,0,0,0,0.05
9,-0.578604232,-0.583045119,-0.572222319,-0.539724139,-0.483217855,-0.403399023,-0.306927843,-0.205027849,-0.109943446,-0.035282963,0.005762612,0,0,0,0,0,0,0,0,0,0.15
10,-0.578574678,-0.583197979,-0.572688189,-0.540603952,-0.484619944,-0.404814093,-0.307909313,-0.205659731,-0.110288909,-0.035414183,0.005754525,0,0,0,0,0,0,0,0,0,0.2
11,-0.578542039,-0.583366725,-0.573202513,-0.541575317,-0.486168007,-0.406375926,-0.308992562,-0.206357143,-0.110670205,-0.035559019,0.005745593,0,0,0,0,0,0,0,0,0,0.25
12,-0.57846535,-0.583762943,-0.574410309,-0.543856564,-0.489803963,-0.410041787,-0.31153506,-0.207994048,-0.111565172,-0.035898996,0.005724612,0,0,0,0,0,0,0,0,0,0.35
13,-0.578419886,-0.583997656,-0.575125889,-0.545208251,-0.491958575,-0.412212419,-0.313040487,-0.20896327,-0.112095101,-0.036100318,0.005712178,0,0,0,0,0,0,0,0,0,0.4
14,-0.578368424,-0.584263188,-0.575935518,-0.546737704,-0.494396771,-0.414667124,-0.314742891,-0.210059309,-0.112694379,-0.036327997,0.005698106,0,0,0,0,0,0,0,0,0,0.45
