Case,U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,DI1,DI2,DI3,DI4,DI5,DI6,DI7,DI8,DI9,DI10
0,-0.652566668,-0.645687161,-0.627124432,-0.590593962,-0.533061537,-0.455054986,-0.360624066,-0.257759618,-0.158941035,-0.078927285,-0.034615408,0,0,0,0,0,0,0,0,0,0
1,-0.652644595,-0.645726987,-0.627009847,-0.590400355,-0.532840165,-0.45484278,-0.360446349,-0.257630943,-0.158865378,-0.078896888,-0.034610046,0,0,0,0,0,0,0.05,0,0,0
2,-0.652817709,-0.645821151,-0.626761346,-0.589976306,-0.532354026,-0.454376231,-0.360055391,-0.257347776,-0.158698852,-0.078829976,-0.034598241,0,0,0,0,0,0,0.15,0,0,0
3,-0.652914142,-0.645877182,-0.626626488,-0.589743541,-0.532086376,-0.454119028,-0.359839708,-0.257191492,-0.158606919,-0.07879303,-0.034591722,0,0,0,0,0,0,0.2,0,0,0
4,-0.65301823,-0.645940744,-0.626483987,-0.589495253,-0.531800176,-0.453843703,-0.359608695,-0.25702404,-0.158508393,-0.078753428,-0.034584735,0,0,0,0,0,0,0.25,0,0,0
5,-0.653253491,-0.646097226,-0.626174605,-0.588946298,-0.531164449,-0.453230892,-0.359093954,-0.256650678,-0.158288618,-0.078665067,-0.034569144,0,0,0,0,0,0,0.35,0,0,0
6,-0.653387236,-0.646194879,-0.6260073,-0.58864246,-0.53081054,-0.452888885,-0.358806293,-0.256441855,-0.15816563,-0.078615602,-0.034560415,0,0,0,0,0,0,0.4,0,0,0
7,-0.653533902,-0.646309984,-0.625831719,-0.58831683,-0.530429314,-0.452519672,-0.358495387,-0.256215994,-0.158032546,-0.07856206,-0.034550967,0,0,0,0,0,0,0.45,0,0,0
8,-0.65256875,-0.645695025,-0.627142438,-0.590626243,-0.533112929,-0.455132928,-0.360744226,-0.257830105,-0.158976209,-0.078939971,-0.034617253,0,0,0,0,0,0,0.05,0,0,0
9,-0.652574725,-0.645714213,-0.627184852,-0.590701345,-0.533231734,-0.455312293,-0.361019465,-0.257989125,-0.159055756,-0.078968629,-0.034621407,0,0,0,0,0,0,0.15,0,0,0
10,-0.65257865,-0.64572573,-0.627209706,-0.590744939,-0.533300325,-0.455415445,-0.361177233,-0.25807851,-0.159100586,-0.078984796,-0.034623756,0,0,0,0,0,0,0.2,0,0,0
11,-0.652583403,-0.645738873,-0.627237583,-0.590793489,-0.533376405,-0.455529519,-0.361351267,-0.258175587,-0.159149377,-0.079002407,-0.034626321,0,0,0,0,0,0,0.25,0,0,0
12,-0.652589194,-0.645753991,-0.62726907,-0.590847909,-0.533461305,-0.4556564,-0.361544304,-0.258281361,-0.159202668,-0.079021665,-0.034629135,0,0,0,0,0,0,0.35,0,0,0
13,-0.652605105,-0.645792105,-0.627346111,-0.590979329,-0.533664732,-0.455958656,-0.362001906,-0.25852389,-0.159325423,-0.079066124,-0.034635667,0,0,0,0,0,0,0.4,0,0,0
14,-0.652616122,-0.645816507,-0.627393943,-0.591059781,-0.533788196,-0.456140907,-0.362276313,-0.258663621,-0.15939655,-0.079091961,-0.034639493,0,0,0,0,0,0,0.45,0,0,0
