Case,U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,DI1,DI2,DI3,DI4,DI5,DI6,DI7,DI8,DI9,DI10
45,-0.000334602,-0.000329797,-0.000312894,-0.000283123,-0.000241187,-0.00018945,-0.000131664,-0.000073656,-0.000024246,0.000009973,0.000022755,0,0,0,0,0,0,0.25,0,0,0
46,-0.00033461,-0.000329797,-0.000312878,-0.000283081,-0.000241109,-0.000189319,-0.000131457,-0.000073412,-0.000024129,0.000010012,0.000022759,0,0,0,0,0,0,0.3,0,0,0
47,-0.00033462,-0.000329797,-0.00031286,-0.000283036,-0.000241023,-0.000189176,-0.000131229,-0.000073139,-0.000023999,0.000010055,0.000022764,0,0,0,0,0,0,0.35,0,0,0
48,-0.000334631,-0.000329798,-0.000312841,-0.000282985,-0.000240928,-0.000189017,-0.000130976,-0.000072835,-0.000023854,0.000010103,0.000022769,0,0,0,0,0,0,0.4,0,0,0
49,-0.000334643,-0.000329799,-0.00031282,-0.00028293,-0.000240823,-0.00018884,-0.000130696,-0.000072492,-0.000023691,0.000010157,0.000022775,0,0,0,0,0,0,0.45,0,0,0
50,-0.000334656,-0.0003298,-0.000312797,-0.000282869,-0.000240706,-0.000188644,-0.000130384,-0.000072104,-0.000023506,0.000010218,0.000022782,0,0,0,0,0,0,0.5,0,0,0
51,-0.000334579,-0.000329815,-0.000312984,-0.000283312,-0.0002415,-0.00018992,-0.00013234,-0.000074309,-0.000024408,0.000009918,0.00002275,0,0,0,0,0,0,0,0.05,0,0
52,-0.000334589,-0.000329833,-0.000313011,-0.000283339,-0.000241509,-0.000189879,-0.000132206,-0.00007401,-0.000024102,0.000010017,0.000022761,0,0,0,0,0,0,0,0.1,0,0
53,-0.0003346,-0.000329854,-0.000313041,-0.000283368,-0.000241518,-0.000189835,-0.00013206,-0.000073685,-0.00002377,0.000010124,0.000022773,0,0,0,0,0,0,0,0.15,0,0
54,-0.000334613,-0.000329876,-0.000313074,-0.000283401,-0.000241528,-0.000189788,-0.000131903,-0.000073333,-0.000023409,0.000010241,0.000022787,0,0,0,0,0,0,0,0.2,0,0
55,-0.000334626,-0.0003299,-0.00031311,-0.000283437,-0.00024154,-0.000189738,-0.000131731,-0.00007295,-0.000023014,0.000010368,0.000022802,0,0,0,0,0,0,0,0.25,0,0
56,-0.000334641,-0.000329927,-0.000313149,-0.000283477,-0.000241554,-0.000189683,-0.000131545,-0.000072531,-0.000022581,0.000010509,0.000022818,0,0,0,0,0,0,0,0.3,0,0
57,-0.000334657,-0.000329956,-0.000313193,-0.000283522,-0.00024157,-0.000189624,-0.000131341,-0.000072071,-0.000022103,0.000010663,0.000022836,0,0,0,0,0,0,0,0.35,0,0
58,-0.000334674,-0.000329989,-0.000313242,-0.000283572,-0.000241589,-0.00018956,-0.000131117,-0.000071564,-0.000021573,0.000010834,0.000022856,0,0,0,0,0,0,0,0.4,0,0
59,-0.000334694,-0.000330026,-0.000313298,-0.000283629,-0.000241612,-0.000189491,-0.00013087,-0.000071002,-0.000020983,0.000011025,0.000022878,0,0,0,0,0,0,0,0.45,0,0
60,-0.000334716,-0.000330067,-0.00031336,-0.000283694,-0.000241639,-0.000189416,-0.000130596,-0.000070377,-0.000020321,0.000011239,0.000022902,0,0,0,0,0,0,0,0.5,0,0
