Case,U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,DI1,DI2,DI3,DI4,DI5,DI6,DI7,DI8,DI9,DI10
0,-0.563238154,-0.563477275,-0.55614626,-0.532480135,-0.487788564,-0.421896974,-0.338939232,-0.246708828,-0.155988141,-0.079750611,-0.031763934,0,0,0,0,0,0,0,0,0,0
1,-0.563308789,-0.563756955,-0.556746122,-0.533426683,-0.489038289,-0.423348178,-0.340442367,-0.248073153,-0.156978799,-0.080055524,-0.031735799,0,0,0,0,0.05,0,0,0,0,0
2,-0.563465409,-0.564377534,-0.558077328,-0.53552735,-0.491811861,-0.426568964,-0.343778476,-0.251101272,-0.159177707,-0.080732521,-0.031673472,0,0,0,0,0.15,0,0,0,0,0
3,-0.563552524,-0.564723073,-0.558818687,-0.536697305,-0.493356641,-0.428362865,-0.345636647,-0.25278794,-0.160402564,-0.081109733,-0.031638793,0,0,0,0,0.2,0,0,0,0,0
4,-0.563646426,-0.565095813,-0.559618519,-0.537959599,-0.495023382,-0.43029843,-0.347641588,-0.254607867,-0.161724245,-0.081516853,-0.031601404,0,0,0,0,0.25,0,0,0,0,0
5,-0.563858021,-0.565936839,-0.561423646,-0.540808685,-0.498785492,-0.434667441,-0.352167314,-0.258716106,-0.164707962,-0.0824363,-0.031517114,0,0,0,0,0.35,0,0,0,0,0
6,-0.563977813,-0.566413655,-0.562447323,-0.542424532,-0.500919255,-0.437145498,-0.354734334,-0.261046413,-0.166400541,-0.082958123,-0.031469371,0,0,0,0,0.4,0,0,0,0,0
7,-0.564108653,-0.566935019,-0.563566869,-0.544191826,-0.503253088,-0.439855975,-0.357542179,-0.263595417,-0.168252083,-0.083529178,-0.031417203,0,0,0,0,0.45,0,0,0,0,0
8,-0.563247082,-0.56361159,-0.556500876,-0.533133755,-0.488830305,-0.422951023,-0.339656909,-0.247164243,-0.156235469,-0.079846315,-0.031773953,0,0,0,0,0.05,0,0,0,0,0
9,-0.56326735,-0.563917686,-0.557309156,-0.534623607,-0.49120485,-0.425353044,-0.341292433,-0.24820216,-0.156799195,-0.080064478,-0.031796805,0,0,0,0,0.15,0,0,0,0,0
10,-0.563278953,-0.564093138,-0.557772475,-0.535477628,-0.492566021,-0.426729596,-0.34222973,-0.248796992,-0.15712228,-0.080189521,-0.031809909,0,0,0,0,0.2,0,0,0,0,0
11,-0.563291734,-0.564286593,-0.558283357,-0.536419329,-0.49406696,-0.42824717,-0.343263059,-0.249452782,-0.157478484,-0.080327388,-0.031824363,0,0,0,0,0.25,0,0,0,0,0
12,-0.563321637,-0.564739891,-0.559480509,-0.538626061,-0.497584268,-0.431802059,-0.34568365,-0.250989037,-0.158312971,-0.0806504,-0.031858251,0,0,0,0,0.35,0,0,0,0,0
13,-0.563339282,-0.565007806,-0.560188112,-0.539930423,-0.499663348,-0.43390238,-0.347113822,-0.251896749,-0.158806062,-0.080841283,-0.031878291,0,0,0,0,0.4,0,0,0,0,0
14,-0.563359186,-0.565310362,-0.560987236,-0.541403515,-0.502011435,-0.436273529,-0.348728431,-0.252921552,-0.159362786,-0.081056815,-0.031900933,0,0,0,0,0.45,0,0,0,0,0
