Case,U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,DI1,DI2,DI3,DI4,DI5,DI6,DI7,DI8,DI9,DI10
0,0.690044907,0.68834601,0.674200934,0.640593904,0.584199252,0.50578794,0.410206875,0.305912839,0.204385598,0.119310562,0.065326848,0,0,0,0,0,0,0,0,0,0
1,0.690128361,0.688595656,0.674715272,0.641405998,0.585285567,0.507073543,0.411567963,0.307175008,0.2053119,0.119557955,0.065256633,0,0,0,0,0.05,0,0,0,0,0
2,0.6903129,0.689147877,0.675853088,0.643202562,0.587688817,0.509917697,0.414579128,0.309967345,0.20736119,0.120105198,0.065101218,0,0,0,0,0.15,0,0,0,0,0
3,0.690415295,0.68945436,0.676484618,0.644199743,0.589022751,0.511496366,0.4162505,0.311517253,0.208498651,0.120408894,0.065014897,0,0,0,0,0.2,0,0,0,0,0
4,0.690525466,0.689784177,0.677164257,0.645272903,0.590458334,0.51319534,0.418049246,0.313185277,0.209722784,0.12073569,0.064921954,0,0,0,0,0.25,0,0,0,0,0
5,0.690772969,0.690525343,0.678691662,0.647684765,0.593684758,0.517013749,0.422091901,0.316934127,0.212473954,0.121469983,0.064712894,0,0,0,0,0.35,0,0,0,0,0
6,0.690912631,0.690943701,0.679553889,0.64904631,0.595506164,0.519169361,0.424374112,0.31905047,0.214027047,0.121884405,0.064594768,0,0,0,0,0.4,0,0,0,0,0
7,0.691064798,0.69139963,0.680493605,0.650530249,0.597491321,0.521518784,0.426861521,0.321357092,0.215719752,0.122335994,0.064465935,0,0,0,0,0.45,0,0,0,0,0
8,0.690063101,0.688459453,0.674492504,0.641145905,0.58511589,0.506702383,0.410788274,0.306256123,0.204556319,0.119365477,0.06532034,0,0,0,0,0.05,0,0,0,0,0
9,0.690104292,0.688716926,0.67515446,0.642399275,0.587197478,0.508778139,0.41210796,0.307035222,0.204943697,0.119490034,0.065305546,0,0,0,0,0.15,0,0,0,0,0
10,0.690127792,0.688863921,0.675532412,0.643114935,0.588386113,0.509962862,0.41286114,0.307479855,0.205164758,0.1195611,0.06529709,0,0,0,0,0.2,0,0,0,0,0
11,0.690153611,0.689025506,0.675947907,0.643901713,0.589692931,0.511264867,0.413688864,0.307968477,0.205407676,0.119639182,0.065287787,0,0,0,0,0.25,0,0,0,0,0
12,0.69021373,0.689402111,0.676916414,0.645735787,0.592739547,0.51429806,0.415617079,0.30910667,0.205973471,0.119821,0.065266069,0,0,0,0,0.35,0,0,0,0,0
13,0.690249015,0.689623378,0.677485515,0.64681358,0.594530072,0.516079164,0.416749283,0.309774943,0.206305631,0.119927709,0.065253286,0,0,0,0,0.4,0,0,0,0,0
14,0.690288644,0.689872081,0.678125251,0.648025218,0.596543118,0.518080162,0.418021219,0.310525649,0.20667873,0.120047542,0.065238898,0,0,0,0,0.45,0,0,0,0,0
