Case,U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,DI1,DI2,DI3,DI4,DI5,DI6,DI7,DI8,DI9,DI10
0,0.666265402,0.653617841,0.623471636,0.573247785,0.503244977,0.416900258,0.320154151,0.22066544,0.129035576,0.058094131,0.021741814,0,0,0,0,0,0,0,0,0,0
1,0.666729997,0.652311735,0.617618674,0.565073069,0.494340506,0.408466048,0.313041834,0.215379587,0.125879419,0.05673059,0.02137228,0.5,0,0,0,0,0,0.1,0,0,0
2,0.666742783,0.652319104,0.617615301,0.565053813,0.494297867,0.408388153,0.312907115,0.215160406,0.125775776,0.056694391,0.021366515,0.5,0,0,0,0,0,0.2,0,0,0
3,0.666775382,0.65233916,0.617609685,0.565009083,0.494194039,0.408193695,0.312565933,0.214565447,0.125495254,0.056596761,0.021350991,0.5,0,0,0,0,0,0.4,0,0,0
4,0.666341794,0.653413704,0.62260624,0.572039676,0.501920404,0.415626226,0.319041257,0.219758159,0.128511263,0.057872998,0.021684432,0.1,0,0,0,0,0,0.1,0,0,0
5,0.666353026,0.653421499,0.622607171,0.572029275,0.501892168,0.415569922,0.318938469,0.219565664,0.128420851,0.057841425,0.021679319,0.1,0,0,0,0,0,0.2,0,0,0
6,0.666366049,0.653430865,0.622609021,0.572018352,0.501860695,0.415505674,0.31881978,0.219331808,0.128311204,0.057803232,0.021673142,0.1,0,0,0,0,0,0.3,0,0,0
7,0.666381466,0.653442564,0.622612729,0.572007866,0.501826615,0.41543319,0.318683026,0.21904176,0.128175544,0.057756092,0.021665508,0.1,0,0,0,0,0,0.4,0,0,0
8,0.666399975,0.65345771,0.622619949,0.571999791,0.501791673,0.415353076,0.318526385,0.218671337,0.128002863,0.057696264,0.021655793,0.1,0,0,0,0,0,0.5,0,0,0
9,0.666418268,0.653179041,0.621618488,0.570668917,0.500432404,0.414222244,0.317865712,0.218900653,0.127996077,0.057649526,0.021623501,0.2,0,0,0,0,0,0.1,0,0,0
10,0.666429797,0.65318677,0.62161865,0.570656889,0.500401471,0.414161839,0.317756795,0.218703031,0.127903129,0.057617069,0.021618266,0.2,0,0,0,0,0,0.2,0,0,0
11,0.666443176,0.653196062,0.621619593,0.570644028,0.500366768,0.414092663,0.317630725,0.21846303,0.127790443,0.057577818,0.021611943,0.2,0,0,0,0,0,0.3,0,0,0
12,0.666459031,0.653207681,0.62162222,0.570631202,0.500328755,0.414014147,0.317484905,0.218165484,0.127651076,0.057529388,0.021604132,0.2,0,0,0,0,0,0.4,0,0,0
13,0.666478086,0.653222747,0.621628135,0.570620249,0.500288925,0.413926484,0.317316861,0.217785717,0.127473777,0.057467956,0.021594201,0.2,0,0,0,0,0,0.5,0,0,0
14,0.666506471,0.652917718,0.62048259,0.569087922,0.498714387,0.412600376,0.316507289,0.217909508,0.127400474,0.057391091,0.021552973,0.3,0,0,0,0,0,0.1,0,0,0
15,0.666518347,0.652925359,0.620481818,0.569073949,0.498680262,0.412535155,0.316391217,0.217705903,0.127304562,0.057357599,0.021547592,0.3,0,0,0,0,0,0.2,0,0,0
16,0.666532144,0.652934554,0.620481659,0.569058772,0.498641738,0.412460192,0.316256526,0.217458728,0.127188325,0.057317109,0.021541096,0.3,0,0,0,0,0,0.3,0,0,0
17,0.666548511,0.652946066,0.620482969,0.569043144,0.49859907,0.412374593,0.316100116,0.217152428,0.127044625,0.057267168,0.021533078,0.3,0,0,0,0,0,0.4,0,0,0
18,0.666568207,0.652961017,0.620487292,0.569028743,0.49855345,0.412278059,0.31591875,0.216761751,0.126861927,0.057203859,0.02152289,0.3,0,0,0,0,0,0.5,0,0,0
19,0.666609155,0.652628001,0.61916411,0.567245406,0.496709332,0.410706184,0.314920085,0.21675107,0.126704143,0.05708882,0.02147037,0.4,0,0,0,0,0,0.1,0,0,0
20,0.666621443,0.652635525,0.619162187,0.567229072,0.496671375,0.410635231,0.314795546,0.216540389,0.126604723,0.0570541,0.021464816,0.4,0,0,0,0,0,0.2,0,0,0
21,0.666635737,0.65264459,0.619160666,0.567211081,0.496628261,0.410553377,0.314650652,0.216284729,0.126484278,0.057012139,0.021458114,0.4,0,0,0,0,0,0.3,0,0,0
22,0.66665271,0.652655956,0.619160346,0.567192047,0.49658,0.410459339,0.314481708,0.215968074,0.126335444,0.056960407,0.021449846,0.4,0,0,0,0,0,0.4,0,0,0
23,0.666673167,0.652670748,0.619162689,0.567173447,0.496527419,0.410352235,0.314284569,0.215564486,0.126146349,0.056894867,0.021439352,0.4,0,0,0,0,0,0.5,0,0,0
