Case,U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,DI1,DI2,DI3,DI4,DI5,DI6,DI7,DI8,DI9,DI10
0,-0.000426508,-0.00278849,-0.005582438,-0.008010711,-0.009477156,-0.009603059,-0.008272346,-0.005691182,-0.002427388,0.000657493,0.00246486,0,0,0,0,0,0,0,0,0,0
1,-0.000422345,-0.002799561,-0.005615157,-0.008056015,-0.009527448,-0.009651721,-0.008313981,-0.005722059,-0.002446056,0.000649615,0.002463126,0.05,0,0,0,0,0,0,0,0,0
2,-0.000422345,-0.000413116,-0.002799561,-0.002824469,-0.005615157,-0.005688093,-0.008056015,-0.008156851,-0.009527448,0.009639307,0.009651721,0.15,0,0,0,0,0,0,0,0,0
3,-0.000407956,-0.00283853,-0.005728894,-0.008213174,-0.009701746,-0.009820266,-0.008458117,-0.005828892,-0.002510603,0.000622425,0.002457194,0.2,0,0,0,0,0,0,0,0,0
4,-0.000402372,-0.002853867,-0.005773072,-0.008274089,-0.009769242,-0.009885498,-0.008513879,-0.005870209,-0.002535555,0.000611923,0.002454914,0.25,0,0,0,0,0,0,0,0,0
5,-0.000389709,-0.002889195,-0.005873461,-0.008412215,-0.009922158,-0.010033213,-0.008640108,-0.005963709,-0.002592004,0.000588184,0.002449782,0.35,0,0,0,0,0,0,0,0,0
6,-0.000382493,-0.002909728,-0.00593087,-0.008491008,-0.010009303,-0.010117351,-0.008711983,-0.006016933,-0.002624126,0.000574685,0.002446877,0.4,0,0,0,0,0,0,0,0,0
7,-0.000374572,-0.002932659,-0.005994115,-0.00857763,-0.010105033,-0.010209741,-0.008790889,-0.006075353,-0.002659377,0.00055988,0.002443701,0.45,0,0,0,0,0,0,0,0,0
8,-0.000425184,-0.002791616,-0.005592715,-0.008029686,-0.009505764,-0.009642426,-0.008325403,-0.005736964,-0.002451086,0.00064886,0.002463627,0,0,0,0,0,0,0.05,0,0,0
9,-0.000422177,-0.002798712,-0.005616058,-0.008072804,-0.009570805,-0.009731974,-0.008446138,-0.005841031,-0.002504961,0.00062923,0.002460809,0,0,0,0,0,0,0.15,0,0,0
10,-0.000420457,-0.002802769,-0.005629407,-0.008097467,-0.009608013,-0.009783208,-0.008515226,-0.005900504,-0.002535756,0.000618007,0.002459193,0,0,0,0,0,0,0.2,0,0,0
11,-0.000418564,-0.002807236,-0.005644103,-0.00812462,-0.009648981,-0.009839626,-0.008591312,-0.005965932,-0.00256964,0.000605654,0.002457411,0,0,0,0,0,0,0.25,0,0,0
12,-0.000414138,-0.002817676,-0.005678459,-0.008188101,-0.00974477,-0.009971553,-0.008769252,-0.006118654,-0.002648753,0.000576802,0.002453233,0,0,0,0,0,0,0.35,0,0,0
13,-0.000411531,-0.002823835,-0.005698721,-0.008225542,-0.009801269,-0.010049371,-0.008874221,-0.00620854,-0.002695333,0.000559807,0.002450763,0,0,0,0,0,0,0.4,0,0,0
14,-0.000408594,-0.002830783,-0.005721574,-0.008267768,-0.009864989,-0.010137135,-0.008992609,-0.006309721,-0.002747781,0.000540664,0.002447974,0,0,0,0,0,0,0.45,0,0,0
