Case,U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,DI1,DI2,DI3,DI4,DI5,DI6,DI7,DI8,DI9,DI10
0,0.155800399,0.202714834,0.275825976,0.361698316,0.44805992,0.524924947,0.585342956,0.625895124,0.647087527,0.65336157,0.652842814,0,0,0,0,0,0,0,0,0,0
1,0.155661896,0.202781481,0.276377317,0.362447722,0.448839361,0.525637945,0.585942506,0.626369555,0.647449655,0.653640779,0.653080218,0.05,0,0,0,0,0,0,0,0,0
2,0.155713188,0.203168108,0.277447957,0.36389899,0.45045563,0.52725286,0.58743017,0.627645545,0.648476325,0.654435075,0.653724629,0.15,0,0,0,0,0,0,0,0,0
3,0.155827203,0.204029127,0.279831508,0.367129698,0.454053461,0.53084749,0.590741352,0.63048537,0.650761026,0.656202413,0.655158272,0.2,0,0,0,0,0,0,0,0,0
4,0.155890816,0.20451043,0.281163364,0.36893475,0.456063503,0.532855622,0.592591009,0.632071587,0.652037022,0.65718931,0.655958709,0.25,0,0,0,0,0,0,0,0,0
5,0.156034009,0.20559641,0.28416687,0.373004888,0.460595516,0.537383004,0.596760772,0.635647102,0.654912872,0.659413183,0.657762099,0.35,0,0,0,0,0,0,0,0,0
6,0.156114984,0.206212161,0.285868731,0.375310804,0.463162876,0.539947534,0.59912252,0.637672047,0.656541329,0.660672209,0.658782878,0.4,0,0,0,0,0,0,0,0,0
7,0.156300177,0.20762516,0.289770366,0.380596254,0.469046911,0.545824493,0.604534193,0.642311356,0.660271592,0.66355555,0.661120071,0.45,0,0,0,0,0,0,0,0,0
8,0.155640459,0.202512965,0.275591499,0.361483743,0.447960332,0.525086352,0.585523378,0.625823469,0.646904166,0.653152532,0.652646019,0,0,0,0,0.05,0,0,0,0,0
9,0.155700603,0.202723354,0.276078862,0.362374481,0.449394397,0.527261388,0.587729776,0.627291875,0.647844585,0.653729654,0.653027719,0,0,0,0,0.15,0,0,0,0,0
10,0.155734937,0.202843479,0.276357153,0.362883133,0.45021335,0.528503535,0.588990214,0.628130643,0.648381705,0.654059227,0.653245652,0,0,0,0,0.2,0,0,0,0,0
11,0.155772676,0.202975534,0.276663104,0.363442366,0.451113774,0.529869293,0.590376419,0.629053034,0.648972327,0.654421586,0.653485232,0,0,0,0,0.25,0,0,0,0,0
12,0.155860623,0.203283342,0.277376321,0.364746117,0.453213074,0.533053661,0.593609903,0.631204329,0.650349643,0.655266432,0.654043674,0,0,0,0,0.35,0,0,0,0,0
13,0.155912287,0.2034642,0.277795432,0.36551231,0.45444688,0.534925292,0.595511409,0.632469245,0.651159348,0.655762994,0.65437181,0,0,0,0,0.4,0,0,0,0,0
14,0.15597035,0.203667491,0.278266567,0.366373661,0.45583399,0.537029576,0.597650239,0.633891859,0.652069887,0.656321297,0.654740666,0,0,0,0,0.45,0,0,0,0,0
