Case,U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,DI1,DI2,DI3,DI4,DI5,DI6,DI7,DI8,DI9,DI10
0,0.043526385,0.05756788,0.076348523,0.092018531,0.099466202,0.096224941,0.082510304,0.060915759,0.035964602,0.013326021,-0.001149761,0,0,0,0,0,0,0,0,0,0
1,0.043602499,0.059714708,0.081595067,0.100520666,0.110744387,0.108764176,0.094527868,0.071106559,0.043010036,0.015842041,-0.001156838,0,0,0,0,0.1,0,0,0,0,0.5
2,0.043610458,0.060120703,0.082628918,0.102290817,0.113306285,0.11142781,0.096585132,0.072561603,0.043873959,0.016182315,-0.001131332,0,0,0,0,0.2,0,0,0,0,0.5
3,0.04363195,0.061269922,0.085557669,0.107307572,0.120570148,0.118982956,0.102417921,0.076685833,0.046322312,0.01714668,-0.00105877,0,0,0,0,0.4,0,0,0,0,0.5
4,0.04354249,0.058107369,0.077691804,0.094255444,0.102571084,0.099552999,0.085375813,0.063155515,0.037418991,0.013864403,-0.001134635,0,0,0,0,0.1,0,0,0,0,0.1
5,0.043549634,0.058455625,0.078580151,0.095782203,0.104794333,0.101849739,0.087115317,0.064360584,0.038119709,0.014144964,-0.001111113,0,0,0,0,0.2,0,0,0,0,0.1
6,0.043558296,0.058887356,0.079681882,0.097676143,0.107552964,0.104700049,0.089273595,0.065855526,0.038988896,0.014492977,-0.001081888,0,0,0,0,0.3,0,0,0,0,0.1
7,0.043569056,0.059436826,0.081084694,0.100088284,0.111067353,0.108332036,0.092023051,0.067759627,0.040095868,0.014936208,-0.001044596,0,0,0,0,0.4,0,0,0,0,0.1
8,0.043582748,0.060159757,0.082931424,0.103264812,0.115697062,0.113118137,0.095644955,0.07026738,0.041553601,0.015519901,-0.000995364,0,0,0,0,0.5,0,0,0,0,0.1
9,0.043554299,0.058410247,0.078426329,0.095433734,0.104107483,0.101283644,0.087094368,0.064647449,0.038466767,0.014232672,-0.001139133,0,0,0,0,0.1,0,0,0,0,0.2
10,0.043561604,0.058769053,0.079341259,0.097004988,0.106392732,0.103647458,0.0888917,0.065897832,0.039196971,0.014524031,-0.001115242,0,0,0,0,0.2,0,0,0,0,0.2
11,0.043570457,0.059214097,0.080476566,0.098955179,0.109229836,0.106582634,0.091122951,0.067449838,0.040103228,0.014885639,-0.001085538,0,0,0,0,0.3,0,0,0,0,0.2
12,0.043581443,0.059780879,0.081923092,0.101440635,0.112846649,0.110325347,0.093967316,0.069427969,0.041258199,0.015346497,-0.001047603,0,0,0,0,0.4,0,0,0,0,0.2
13,0.043595406,0.060527206,0.083829,0.104716543,0.117615444,0.115261744,0.097717546,0.072035505,0.042780471,0.015953938,-0.000997469,0,0,0,0,0.5,0,0,0,0,0.2
14,0.043567857,0.058767169,0.079292622,0.096823903,0.105920675,0.10332666,0.089123765,0.066409929,0.039705319,0.014669285,-0.001144229,0,0,0,0,0.1,0,0,0,0,0.3
15,0.043575347,0.05913861,0.080239386,0.098448426,0.108280091,0.105770772,0.090990488,0.067714797,0.040471037,0.014973644,-0.001119899,0,0,0,0,0.2,0,0,0,0,0.3
16,0.043584418,0.059599608,0.081414935,0.100466014,0.111211147,0.108807628,0.093309377,0.069335472,0.041421982,0.015351628,-0.001089626,0,0,0,0,0.3,0,0,0,0,0.3
17,0.043595663,0.060187154,0.082913906,0.103039398,0.114950711,0.112683137,0.096267835,0.071402777,0.042634872,0.015833745,-0.001050928,0,0,0,0,0.4,0,0,0,0,0.3
18,0.043609929,0.060961579,0.084890901,0.106434649,0.119886414,0.117800028,0.100172532,0.074130668,0.044235128,0.016469861,-0.00099972,0,0,0,0,0.5,0,0,0,0,0.3
19,0.043583703,0.059194302,0.080330066,0.098489269,0.108093368,0.105775401,0.091556953,0.068523972,0.041192031,0.015195374,-0.001150075,0,0,0,0,0.1,0,0,0,0,0.4
20,0.043591409,0.059581139,0.081315628,0.100178686,0.110543063,0.108317336,0.093508438,0.069895548,0.042001316,0.01551567,-0.001125217,0,0,0,0,0.2,0,0,0,0,0.4
21,0.043600733,0.060061596,0.082540269,0.102278458,0.113588589,0.111478182,0.095934479,0.071600376,0.043007133,0.015913752,-0.001094259,0,0,0,0,0.3,0,0,0,0,0.4
22,0.043612273,0.060674496,0.084103292,0.104959191,0.117477896,0.115515822,0.099032606,0.073777096,0.044291232,0.016421988,-0.001054638,0,0,0,0,0.4,0,0,0,0,0.4
23,0.04362688,0.061483277,0.086167236,0.108500367,0.122617523,0.120853417,0.103126683,0.076652888,0.045987513,0.017093391,-0.001002128,0,0,0,0,0.5,0,0,0,0,0.4
