Case,U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,DI1,DI2,DI3,DI4,DI5,DI6,DI7,DI8,DI9,DI10
0,0.666265402,0.653617841,0.623471636,0.573247785,0.503244977,0.416900258,0.320154151,0.22066544,0.129035576,0.058094131,0.021741814,0,0,0,0,0,0,0,0,0,0
1,0.666297661,0.653515311,0.623052548,0.572667984,0.502616536,0.416308146,0.319659487,0.22030493,0.128818833,0.058000065,0.021716146,0,0,0,0,0,0,0.05,0,0,0
2,0.666368943,0.653293096,0.622129143,0.571388457,0.501228879,0.415000336,0.318566718,0.21950841,0.128339897,0.057792173,0.021659394,0,0,0,0,0,0,0.15,0,0,0
3,0.666408386,0.653172643,0.621618934,0.570680213,0.500460293,0.414275742,0.317961151,0.219066948,0.128074417,0.057676914,0.021627912,0,0,0,0,0,0,0.2,0,0,0
4,0.66645073,0.653045504,0.621071832,0.569919656,0.499634513,0.413497027,0.31731025,0.218592383,0.127789,0.05755298,0.021594043,0,0,0,0,0,0,0.25,0,0,0
5,0.666545455,0.652770152,0.619850399,0.568217063,0.49778413,0.411751268,0.315850608,0.217527945,0.127148692,0.057274863,0.021517971,0,0,0,0,0,0,0.35,0,0,0
6,0.666598631,0.652621784,0.619166344,0.567260369,0.496743175,0.410768598,0.315028701,0.216928419,0.126787963,0.057118124,0.021475051,0,0,0,0,0,0,0.4,0,0,0
7,0.666656311,0.652466644,0.618425801,0.566221699,0.495611888,0.409700121,0.314134758,0.216276203,0.126395453,0.056947523,0.021428289,0,0,0,0,0,0,0.45,0,0,0
8,0.666270037,0.653621051,0.623472065,0.573243645,0.503233699,0.416877786,0.320113069,0.220589984,0.129000119,0.058081711,0.02173979,0,0,0,0,0,0,0.05,0,0,0
9,0.666280147,0.653628138,0.623473139,0.573234666,0.503208819,0.416827821,0.320021489,0.22041771,0.128919227,0.05805345,0.021735207,0,0,0,0,0,0,0.15,0,0,0
10,0.666285792,0.653632192,0.623473977,0.573230032,0.50319541,0.416800447,0.319970876,0.220319197,0.128873026,0.058037331,0.021732591,0,0,0,0,0,0,0.2,0,0,0
11,0.666291893,0.65363666,0.623475096,0.573225366,0.503181359,0.416771347,0.31991667,0.220210728,0.128822204,0.058019617,0.021729717,0,0,0,0,0,0,0.25,0,0,0
12,0.666298506,0.653641613,0.623476583,0.57322075,0.503166701,0.416740445,0.31985858,0.220090666,0.12876601,0.058000053,0.02172654,0,0,0,0,0,0,0.35,0,0,0
13,0.666313547,0.65365337,0.623481192,0.573212245,0.503135985,0.416673157,0.319729676,0.219807114,0.128633558,0.057954027,0.021719057,0,0,0,0,0,0,0.4,0,0,0
14,0.66632214,0.653660445,0.62348472,0.573208853,0.503120383,0.416636971,0.319658503,0.219637802,0.128554651,0.057926665,0.021714601,0,0,0,0,0,0,0.45,0,0,0
