Case,U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,DI1,DI2,DI3,DI4,DI5,DI6,DI7,DI8,DI9,DI10
0,-0.567566295,-0.562925021,-0.547736167,-0.516685003,-0.467341586,-0.400440386,-0.319765971,-0.232633299,-0.150823028,-0.087143499,-0.054934268,0,0,0,0,0,0,0,0,0,0
1,-0.568115936,-0.563070458,-0.545793821,-0.513679153,-0.463983017,-0.397256047,-0.317132876,-0.230640718,-0.149629603,-0.086641694,-0.054823232,0.5,0,0,0,0,0,0.1,0,0,0
2,-0.568106002,-0.563070474,-0.545810156,-0.513714646,-0.464040248,-0.397339622,-0.317257264,-0.23065237,-0.149638921,-0.086646631,-0.054824332,0.5,0,0,0,0,0,0.2,0,0,0
3,-0.568082568,-0.563075087,-0.545860934,-0.51381962,-0.464206521,-0.397579617,-0.31760995,-0.230671857,-0.149659339,-0.086658261,-0.054826959,0.5,0,0,0,0,0,0.4,0,0,0
4,-0.567640344,-0.562926849,-0.547450408,-0.51626178,-0.466886411,-0.400034059,-0.319475079,-0.232358494,-0.150658866,-0.087074896,-0.054919098,0.1,0,0,0,0,0,0.1,0,0,0
5,-0.56763002,-0.562926108,-0.547465416,-0.516296722,-0.466945094,-0.400122435,-0.319609461,-0.232379118,-0.150672322,-0.087081135,-0.054920299,0.1,0,0,0,0,0,0.2,0,0,0
6,-0.567618563,-0.562926497,-0.547485319,-0.516341328,-0.467019071,-0.400232992,-0.319776259,-0.232400895,-0.150687332,-0.087088211,-0.05492165,0.1,0,0,0,0,0,0.3,0,0,0
7,-0.567605609,-0.562928623,-0.547512314,-0.516399763,-0.467114764,-0.400374827,-0.319988526,-0.232422127,-0.150703554,-0.087096154,-0.054923177,0.1,0,0,0,0,0,0.4,0,0,0
8,-0.567590994,-0.562933963,-0.547550603,-0.516479633,-0.467243698,-0.400564105,-0.320269117,-0.232439612,-0.150720294,-0.087104933,-0.054924889,0.1,0,0,0,0,0,0.5,0,0,0
9,-0.567735279,-0.562936981,-0.547114388,-0.515748102,-0.466312356,-0.399486313,-0.319013951,-0.232020546,-0.150456505,-0.086989862,-0.054900478,0.2,0,0,0,0,0,0.1,0,0,0
10,-0.567725028,-0.562936394,-0.547129684,-0.515783192,-0.4663708,-0.399573799,-0.319146426,-0.232039451,-0.150469172,-0.086995855,-0.054901662,0.2,0,0,0,0,0,0.2,0,0,0
11,-0.567713654,-0.562936972,-0.547149949,-0.515827999,-0.466444517,-0.399683308,-0.319310951,-0.232059187,-0.150483246,-0.087002639,-0.054902992,0.2,0,0,0,0,0,0.3,0,0,0
12,-0.567700797,-0.562939337,-0.547177415,-0.515886719,-0.466539931,-0.399823897,-0.319520463,-0.232077958,-0.150498344,-0.087010233,-0.054904495,0.2,0,0,0,0,0,0.4,0,0,0
13,-0.567686294,-0.562944988,-0.547216347,-0.515967017,-0.466668591,-0.400011683,-0.319797656,-0.23209243,-0.150513712,-0.087018589,-0.054906181,0.2,0,0,0,0,0,0.5,0,0,0
14,-0.567843533,-0.56295758,-0.54673159,-0.515158087,-0.465651347,-0.398854871,-0.318482051,-0.231630659,-0.150222999,-0.086891664,-0.054878842,0.3,0,0,0,0,0,0.1,0,0,0
15,-0.567833367,-0.562957167,-0.546747201,-0.515193323,-0.465709489,-0.398941299,-0.318612296,-0.231647559,-0.150234742,-0.086897367,-0.054880003,0.3,0,0,0,0,0,0.2,0,0,0
16,-0.567822092,-0.562957959,-0.546767865,-0.515238335,-0.465782872,-0.399049564,-0.318774161,-0.231664913,-0.150247722,-0.086903809,-0.054881309,0.3,0,0,0,0,0,0.3,0,0,0
17,-0.56780935,-0.562960592,-0.546795851,-0.515297348,-0.465877923,-0.39918867,-0.318980448,-0.23168081,-0.150261503,-0.086910993,-0.054882783,0.3,0,0,0,0,0,0.4,0,0,0
18,-0.56779498,-0.562966595,-0.546835494,-0.515378095,-0.466006215,-0.399374678,-0.319253661,-0.231691762,-0.150275266,-0.086918852,-0.054884435,0.3,0,0,0,0,0,0.5,0,0,0
19,-0.567968918,-0.562997051,-0.546294222,-0.514475406,-0.464883605,-0.398120166,-0.317862562,-0.231176327,-0.149950769,-0.086777071,-0.054853448,0.4,0,0,0,0,0,0.1,0,0,0
20,-0.567958856,-0.562996838,-0.546310179,-0.514510782,-0.464941356,-0.398205316,-0.317990156,-0.23119085,-0.149961415,-0.086782429,-0.054854583,0.4,0,0,0,0,0,0.2,0,0,0
21,-0.567947701,-0.562997873,-0.546331281,-0.514555991,-0.465014301,-0.398312075,-0.318148859,-0.231205377,-0.149973093,-0.086788461,-0.054855857,0.4,0,0,0,0,0,0.3,0,0,0
22,-0.567935099,-0.563000814,-0.546359842,-0.5146153,-0.465108871,-0.398449388,-0.318351312,-0.231217866,-0.149985308,-0.086795155,-0.054857295,0.4,0,0,0,0,0,0.4,0,0,0
23,-0.567920892,-0.563007218,-0.546400274,-0.514696509,-0.465236658,-0.398633238,-0.318619789,-0.23122464,-0.149997159,-0.086802419,-0.054858907,0.4,0,0,0,0,0,0.5,0,0,0
