Case,U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,DI1,DI2,DI3,DI4,DI5,DI6,DI7,DI8,DI9,DI10
0,-0.382655185,-0.373673172,-0.35233332,-0.317049106,-0.268211728,-0.2084458,-0.142403103,-0.076204237,-0.016781608,0.028900074,0.054927756,0,0,0,0,0,0,0,0,0,0
1,-0.382682386,-0.373801839,-0.352622336,-0.317516732,-0.268841608,-0.20919096,-0.143188584,-0.076927401,-0.017306085,0.028770019,0.054965667,0,0,0,0,0,0,0,0,0,0.05
2,-0.382710403,-0.373938389,-0.352930417,-0.318015907,-0.269514415,-0.209987171,-0.14402802,-0.077700227,-0.017866362,0.028631626,0.055006337,0,0,0,0,0,0,0,0,0,0.15
3,-0.382773322,-0.374242319,-0.353615242,-0.319125026,-0.271008994,-0.211755604,-0.145892163,-0.079416066,-0.019109633,0.028326222,0.055096617,0,0,0,0,0,0,0,0,0,0.2
4,-0.382807795,-0.374411194,-0.353996529,-0.319742937,-0.271841874,-0.212741201,-0.146931093,-0.080372165,-0.019801932,0.028157358,0.055147048,0,0,0,0,0,0,0,0,0,0.25
5,-0.382884436,-0.374790148,-0.354853271,-0.321131919,-0.27371436,-0.214957094,-0.149266712,-0.082520986,-0.02135651,0.027781602,0.05526064,0,0,0,0,0,0,0,0,0,0.35
6,-0.382927233,-0.375003757,-0.355336837,-0.321916201,-0.274771796,-0.216208478,-0.150585565,-0.083733952,-0.022233115,0.02757205,0.055324918,0,0,0,0,0,0,0,0,0,0.4
7,-0.383023805,-0.375490571,-0.356440387,-0.323706718,-0.277186222,-0.219065682,-0.153596284,-0.086501624,-0.024230377,0.027101981,0.055472029,0,0,0,0,0,0,0,0,0,0.45
8,-0.382647082,-0.373711046,-0.352455836,-0.317293076,-0.268622763,-0.208850188,-0.142663447,-0.076359871,-0.016859996,0.028874343,0.054930176,0,0,0,0,0.05,0,0,0,0,0
9,-0.382628704,-0.373797169,-0.352734352,-0.317847693,-0.269557238,-0.209768591,-0.143254686,-0.076713268,-0.017037956,0.028815951,0.054935689,0,0,0,0,0.15,0,0,0,0,0
10,-0.382618228,-0.373846421,-0.352893575,-0.318164747,-0.270091481,-0.210293016,-0.143592277,-0.076915037,-0.017139548,0.028782626,0.054938846,0,0,0,0,0.2,0,0,0,0,0
11,-0.382606726,-0.373900635,-0.353068784,-0.318513627,-0.270679382,-0.210869559,-0.143963404,-0.077136835,-0.017251214,0.028746005,0.054942324,0,0,0,0,0.25,0,0,0,0,0
12,-0.382579982,-0.374027288,-0.353477896,-0.319328223,-0.272052198,-0.212213468,-0.144828433,-0.077653746,-0.017511414,0.028660706,0.054950465,0,0,0,0,0.35,0,0,0,0,0
13,-0.382564314,-0.374101901,-0.353718763,-0.319807795,-0.272860497,-0.213003086,-0.145336645,-0.077957396,-0.017664233,0.028610632,0.054955271,0,0,0,0,0.4,0,0,0,0,0
14,-0.382546745,-0.374185948,-0.353989949,-0.320347711,-0.273770587,-0.213890563,-0.145907805,-0.078298621,-0.017835936,0.028554392,0.054960695,0,0,0,0,0.45,0,0,0,0,0
